title,url,funding_amount,deadline,program_type,eligibility,source_type,language
節能家居改善稅務優惠,https://www.irs.gov/zh-hant/credits-deductions/energy-efficient-home-improvement-credit,"$3,200","The tax credit is applicable for qualifying equipment installed between January 1, 2023, and January 1, 2033.",Tax Credit,"To qualify for the tax credit, individuals must make energy-efficient improvements to their primary residence located in the United States. The improvements must meet energy efficiency standards and cannot be used for new construction.",HTML,ko
"How to claim an energy efficient home improvement tax credit – exterior doors, windows, skylights and insulation materials",https://www.irs.gov/credits-deductions/how-to-claim-an-energy-efficient-home-improvement-tax-credit-exterior-doors-windows-skylights-and-insulation-materials,energy efficient home improvement tax credit,not specified,Tax Credit,individuals,HTML,en
Advanced Energy Project Credit,https://www.irs.gov/credits-deductions/businesses/advanced-energy-project-credit,Advanced Energy Project Credit,Not specified,Tax Credit,Individuals and businesses,HTML,en
Crédito por las mejoras de eficiencia energética de la vivienda,https://www.irs.gov/es/credits-deductions/energy-efficient-home-improvement-credit,Crédito por las mejoras de eficiencia energética de la vivienda,No specific deadline mentioned,Tax Credit,Individuals who make energy-efficient improvements to their homes,HTML,es
Child Tax Credit,https://www.irs.gov/credits-deductions/individuals/child-tax-credit,Child Tax Credit,Varies,Tax Credit,Families with qualifying children,HTML,en
에너지 효율 주택 개보수 세액공제,https://www.irs.gov/ko/credits-deductions/energy-efficient-home-improvement-credit,"$3,200",Renovations completed by 2032 can claim tax credits,Tax Credit,Individuals who have made energy-efficient renovations to their primary residence,HTML,ko
Frequently asked questions about energy efficient home improvements and residential clean energy property credits,https://www.irs.gov/credits-deductions/frequently-asked-questions-about-energy-efficient-home-improvements-and-residential-clean-energy-property-credits,Residential clean energy property credits,Not specified,Tax Credit,Individuals,HTML,en
Clean vehicle and energy credits,https://www.irs.gov/credits-deductions/clean-vehicle-and-energy-credits,Clean vehicle and energy credits,Not specified,Tax Credit,Individuals and businesses,HTML,en
How to claim an energy efficient home improvement tax credit – residential energy property,https://www.irs.gov/credits-deductions/how-to-claim-an-energy-efficient-home-improvement-tax-credit-residential-energy-property,Energy efficient home improvement tax credit,Apply for tax credit when filing taxes,Tax Credit,Individuals who make energy efficient home improvements,HTML,en
Налоговый зачет за энергоэффективное улучшение жилья,https://www.irs.gov/ru/credits-deductions/energy-efficient-home-improvement-credit,Налоговый зачет за энергоэффективное улучшение жилья,Не указан,Tax Credit,Физические лица,HTML,ru
Residential Clean Energy Credit,https://www.irs.gov/credits-deductions/residential-clean-energy-credit,Residential Clean Energy Credit,Not specified,Tax Credit,Individuals,HTML,en
Energy efficient commercial buildings deduction,https://www.irs.gov/credits-deductions/energy-efficient-commercial-buildings-deduction,Energy efficient commercial buildings deduction,No specific deadline mentioned,Tax Credit,Commercial building owners who make energy-efficient improvements,HTML,en
Tín thuế Cải thiện nhà có hiệu quả năng lượng,https://www.irs.gov/vi/credits-deductions/energy-efficient-home-improvement-credit,Tax credits for energy-efficient home improvements,No specific deadline mentioned,Tax Credit,Individuals who make energy-efficient home improvements,HTML,vi
Credits and deductions for businesses,https://www.irs.gov/credits-deductions/businesses,Credits and deductions for businesses,Not specified,Tax Credit,Businesses,HTML,en
Home energy tax credits,https://www.irs.gov/credits-deductions/home-energy-tax-credits,Home energy tax credits,Not specified,Tax Credit,Individuals,HTML,en
Elective pay and transferability,https://www.irs.gov/credits-deductions/elective-pay-and-transferability,Clean energy and vehicle credits and deductions,Not specified,Tax Credit,Individuals and businesses,HTML,en
How to claim an energy efficient home improvement tax credit – home energy audit,https://www.irs.gov/credits-deductions/how-to-claim-an-energy-efficient-home-improvement-tax-credit-home-energy-audit,Energy efficient home improvement tax credit,Not specified,Tax Credit,Individuals who make energy efficient home improvements,HTML,en
Energy Efficient Home Improvement Credit qualified manufacturer requirements,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit-qualified-manufacturer-requirements,Energy Efficient Home Improvement Credit,Not specified,Tax Credit,Qualified manufacturers,HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/ht/inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,N/A,Inflation Reduction Act,Internal Revenue Service,HTML,en
Notices for the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/notices-for-the-inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,2022,Inflation Reduction Act,United States Government,HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/zh-hans/inflation-reduction-act-of-2022,Funds provided to improve services and technology for tax filing,No specific deadline mentioned,Inflation Reduction Act,Taxpayers benefiting from the changes in tax laws under the Inflation Reduction Act,HTML,en
Proposed regulations for the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/proposed-regulations-for-the-inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,Not specified,Inflation Reduction Act,"Individuals, businesses, charities, nonprofits, international filers, retirement plans, governments, tax-exempt bonds, Indian Tribal Governments",HTML,en
Final regulations for the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/final-regulations-for-the-inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,Not specified,Inflation Reduction Act,"Individuals, businesses, charities, nonprofits, international filers, retirement plans, governments, tax-exempt bonds, Indian Tribal Governments",HTML,en
"Posters, guides and toolkits for the Inflation Reduction Act credits",https://www.irs.gov/newsroom/posters-guides-and-toolkits-for-the-inflation-reduction-act-credits,Inflation Reduction Act credits,Not specified,Inflation Reduction Act,"Individuals, Businesses & Self-Employed",HTML,en
Corporate alternative minimum tax,https://www.irs.gov/inflation-reduction-act-of-2022/corporate-alternative-minimum-tax,Corporate alternative minimum tax,Not specified,Inflation Reduction Act,Corporations subject to alternative minimum tax,HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,2022,Inflation Reduction Act,"Individuals, Businesses & Self-Employed",HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/ru/inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,Not specified,Inflation Reduction Act,"Physical individuals, companies, charitable and non-profit organizations, individuals with foreign income sources, pension plans, tax-exempt government entities, and Native American tribal government entities",HTML,ru
Inflation Reduction Act of 2022,https://www.irs.gov/vi/inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,Not specified,Inflation Reduction Act,"Individuals, businesses, non-profits, international taxpayers, Native American Tribal Governments",HTML,vi
Understanding-a-Wage-Determination.pdf,https://www.dol.gov/sites/dolgov/files/WHD/Understanding-a-Wage-Determination.pdf,wages and benefits required to be paid to laborers and mechanics on the project,No specific deadline mentioned,Inflation Reduction Act,Taxpayers and contractors,PDF,en
Frequently asked questions about the prevailing wage and apprenticeship under the Inflation Reduction Act,https://www.irs.gov/credits-deductions/frequently-asked-questions-about-the-prevailing-wage-and-apprenticeship-under-the-inflation-reduction-act,There is no information about funding amounts in the provided text.,There is no information about deadlines in the provided text.,Inflation Reduction Act,There is no information about eligibility criteria in the provided text.,HTML,en
Announcements for the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/announcements-for-the-inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,2022,Inflation Reduction Act,"Individuals, Businesses & Self-Employed",HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/zh-hant/inflation-reduction-act-of-2022,Funds provided to improve services and technology for tax filing,No specific deadline mentioned,Inflation Reduction Act,Taxpayers benefiting from the changes in tax laws,HTML,en
Inflation Reduction Act of 2022,https://www.irs.gov/ko/inflation-reduction-act-of-2022,Tax credits under the Inflation Reduction Act of 2022,No specific deadline mentioned,Inflation Reduction Act,Taxpayers eligible for tax credits under the Act,HTML,en
Revenue procedures for the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/revenue-procedures-for-the-inflation-reduction-act-of-2022,Revenue procedures for the Inflation Reduction Act of 2022,2022,Inflation Reduction Act,"Individuals, Businesses & Self-Employed",HTML,en
IRS Inflation Reduction Act Strategic Operating Plan,https://www.irs.gov/about-irs/irs-inflation-reduction-act-strategic-operating-plan,IRS Inflation Reduction Act Strategic Operating Plan,Not specified,Inflation Reduction Act,Not specified,HTML,en
News on the Inflation Reduction Act of 2022,https://www.irs.gov/newsroom/news-on-the-inflation-reduction-act-of-2022,Inflation Reduction Act of 2022,2022,Inflation Reduction Act,United States Government,HTML,en
Ley de Reducción de la Inflación de 2022,https://www.irs.gov/es/inflation-reduction-act-of-2022,No specific funding information found,No specific deadline information found,Inflation Reduction Act,No specific eligibility information found,HTML,es
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000JFllRAAT,The Owner’s Representative Services for Multifamily Buildings Program provides incentives for technical assistance and support services. NYSERDA will match the building owner/manager to a qualified Owner’s Representative.,Continuous application submission,Grant,Multifamily owners and managers of under-resourced multifamily buildings,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000000QnDbAAK,Performance-based incentives for the installation of new grid-connected electric photovoltaic (PV) systems ranging from 750kW to 7.5MW in Upstate region,"Applications accepted on a rolling basis through December 31, 2030, or until funds are fully committed",Grant,"Contractors for residential sites in all regions, nonresidential sites 750kW or less in Upstate and PSEG Long Island regions, and nonresidential sites 7.5MW or less in Con Ed region",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000000QnFIAA0,"$3,600,000",Continuous,Grant,"Barriers to solar installations serving low-to-moderate income households living in rental housing, multifamily buildings, or other households not served by traditional onsite residential solar",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000Hl6VAAS,$10,09/26/2024 (Round 1); 01/30/2025 (Round 2); 07/31/2025 (Round 3),Grant,"Single building projects must provide heating, cooling, and hot water to at least 100,000 square feet of conditioned space to be eligible. Multiple building projects must provide heating, cooling, and hot water to at least 2 buildings with at least 250,000 square feet of conditioned space, collocated on a single property or contiguous properties, to be eligible.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,"Anyone can apply, but incomplete Concept Papers or Proposals may be subject to disqualification.",PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt000000MdOBOAA3,$10,"Concept Papers may be submitted on a rolling basis until November 18, 2025",Grant,All training funded by NYSERDA must take place in New York State and serve New York State residents. Primary applicants must be registered to do business in New York State and must have a New York State office or training location.,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt000000x5aidAAA,"$1,000,000",Continuous,Grant,Entities applying for Loan Loss Reserve/Credit Enhancement support for financing products supporting clean energy improvements in eligible properties located in New York State Communities,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,"Anyone can apply, but incomplete Concept Papers or Proposals may be subject to disqualification.",PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000IUDGnAAP,$5,Due Date: 08/14/2025 (Round 1),Grant,Hospitals located in New York State are eligible to submit proposals. All buildings included in the proposal must be existing hospital buildings located in New York State.,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000000QnxFAAS,"Cash incentives and/or financing for the installation of new grid-connected electric photovoltaic (PV) systems for residential sites up to 25kW, nonresidential sites up to 750kW in Upstate and PSEG Long Island regions, and nonresidential sites up to 7.5MW in Con Ed region","PV project applications will be accepted through December 31, 2030, or until funds are fully committed",Grant,Contractors and Builders for residential and nonresidential sites in specified regions,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000FOEyAAO,$45,"Multiple rounds with varying deadlines from February 7, 2024, to December 4, 2025.",Grant,"Bona fide labor organizations, labor management committees, training centers, Registered Apprenticeship Programs, Direct Entry Pre-apprenticeship Programs affiliated with labor organizations, entities registered to do business in New York State with a training location in the state, and with a history of clean energy technical training and job placement in the proposed technology areas.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000EJUmAAO,75%,Continuous,Grant,"Multifamily, commercial, institutional, industrial, and manufacturing buildings and facilities, manufacturers qualified through RFQL 5217",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000NEwgbAAD,Financial incentives for the installation of new grid-connected distributed residential and nonresidential energy storage systems. Incentives are structured as fixed-rate incentives per kWh of system energy capacity. Incentives available for up to 25 kWh of storage capacity for residential projects and up to 5 MW for retail projects.,"Continuous application submission. Funding for Retail Energy Storage incentives available May 20, 2025. Funding for Residential Energy Storage incentives available June 10, 2025.",Grant,"Participating contractors, New York State residents installing grid-connected energy storage on a new or existing home, projects up to 5 MW for retail projects, commercially-available chemical, thermal, and mechanical technologies eligible.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000CVOdAAO,"$3,000",Continuous,Grant,Public and private (for-profit and not-for-profit) entities may participate in the Program. Applicants can be the Equipment Owners or the Installers on behalf of the Equipment Owners.,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr00000JyIQYAA3,$5.5,Due Date: 07/24/2025 (Round 1),Grant,Contractors producing content intended to be published to the World Wide Web,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000DMhmAAG,$20,Continuous,Grant,Financial companies actively working (or developing plans) to deploy capital into decarbonization projects in New York State,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Grants offered by NYSERDA,Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation,Grant,Open to proposers who follow the submission guidelines and have a NYSERDA Portal account,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000000QnlnAAC,"grants, direct technical support",Continuous,Grant,Local governments,HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt000000kXV1yAAG,The FlexTech Program provides cost-share for technical assistance services such as energy audits.,Continuous application submission.,Grant,"New York State commercial, industrial, institutional, and multifamily customers who pay into the Systems Benefit Charge.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
NYSERDA_Solicitation_User_Guide,https://portal.nyserda.ny.gov/resource/1619795565000/NYSERDA_Solicitation_User_Guide,Specific funding amounts are not mentioned in the text.,All Concept Papers or Proposals must be received by 3:00 p.m. ET on the date noted in the solicitation.,Grant,Anyone can apply as long as they follow the submission guidelines and have a NYSERDA Portal account.,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rcr000009h2RMAAY,"$1,250,000","Proposals accepted through 3:00 p.m. ET on August 6, 2025",Grant,"Innovative heat pump manufacturers capable of developing, demonstrating, and scaling production of Packaged Terminal Heat Pumps (PTHPs)",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0rt0000018tQ1hAAE,100%,Continuous,Grant,"Applicant must be County, City, Town, or Village that is home to a grid-connected fossil-fuel power plant that has been decommissioned after August 3, 2016, is currently being decommissioned, has confirmed its plans to retire and deactivate, or is currently operating.",HTML,en
3228CB684F324B7B90E7465B56F47E8B.ashx,https://nyserda.ny.gov/-/media/3228CB684F324B7B90E7465B56F47E8B.ashx,N/A,N/A,Grant,Contractors producing content and functionality intended to be published to the Web for NYSERDA,PDF,en
N/A,https://portal.nyserda.ny.gov/CORE_Solicitation_Detail_Page?SolicitationId=a0r8z000000IPaZAAW,"Financial incentives for zero emissions home design, passive house-focused training, new construction of single-family homes and townhomes, and support for marketing and promotion.",Continuous,Grant,"Builders and developers looking to construct and market zero emissions single-family homes and townhomes, with enhanced support for geothermal systems.",HTML,en
